player_id,overall_rank,tier,pos_rank,pos_tier,player_name,position,team,proj_p10,proj_p50,proj_p90,vor,replacement_baseline,projected_season,proj_ppg_p50,proj_games_p50,inj_weeks_out,inj_weeks_on_report,inj_primary,adp,adp_rank,value_vs_adp
00-0039040,1,1,1,1,De'Von Achane,RB,MIA,145.7,243.0,338.6,150.2,92.8,2026,16.65,14.3,0.0,4.0,Shoulder,8.0,8.0,7.0
00-0038542,2,1,2,1,Bijan Robinson,RB,ATL,136.7,231.2,338.0,138.4,92.8,2026,17.56,14.1,0.0,1.0,Illness,1.0,1.0,-1.0
00-0038597,3,1,2,1,Chase Brown,RB,CIN,100.6,231.2,342.7,138.4,92.8,2026,15.56,14.7,0.0,2.0,Calf,15.0,15.0,12.0
00-0040715,4,1,4,1,Cam Skattebo,RB,NYG,88.8,218.8,294.1,126.0,92.8,2026,13.0,13.6,0.0,2.0,Ankle,38.0,38.0,34.0
00-0040122,5,1,5,1,Ashton Jeanty,RB,LV,109.4,200.2,354.0,107.4,92.8,2026,13.33,14.9,0.0,0.0,,12.0,12.0,7.0
00-0036973,6,1,6,1,Travis Etienne,RB,JAX,80.4,194.9,274.8,102.1,92.8,2026,13.27,14.5,0.0,1.0,Shoulder,34.0,34.0,28.0
00-0039075,7,1,1,1,Puka Nacua,WR,LA,76.2,235.4,355.3,98.9,136.5,2026,17.54,15.7,1.0,5.0,Ankle,4.0,4.0,-3.0
00-0040734,8,1,7,1,TreVeyon Henderson,RB,NE,74.1,190.4,277.3,97.6,92.8,2026,12.39,14.7,0.0,2.0,Concussion,39.0,39.0,31.0
00-0038543,9,1,2,1,Jaxon Smith-Njigba,WR,SEA,78.8,234.0,365.9,97.5,136.5,2026,17.64,15.9,0.0,7.0,Illness,6.0,6.0,-3.0
00-0036900,10,1,3,1,Ja'Marr Chase,WR,CIN,75.1,233.9,316.0,97.4,136.5,2026,17.19,14.8,0.0,1.0,Illness,3.0,3.0,-7.0
00-0034857,11,1,1,1,Josh Allen,QB,BUF,210.4,480.4,582.5,95.8,343.5,2026,29.45,15.0,0.0,3.0,Foot,4.0,4.0,-7.0
00-0039139,12,1,8,1,Jahmyr Gibbs,RB,DET,100.7,186.9,353.7,94.1,92.8,2026,17.33,14.2,0.0,0.0,,2.0,2.0,-10.0
00-0036963,13,1,4,1,Amon-Ra St. Brown,WR,DET,73.8,227.9,323.3,91.4,136.5,2026,16.23,16.1,0.0,4.0,Knee,7.0,7.0,-6.0
00-0037247,14,1,5,1,George Pickens,WR,DAL,76.1,226.8,329.0,90.3,136.5,2026,16.59,15.4,0.0,2.0,Calf,23.0,23.0,9.0
00-0026498,15,1,2,1,Matthew Stafford,QB,LA,220.8,469.7,533.5,88.3,343.5,2026,29.47,15.2,0.0,0.0,,68.0,68.0,53.0
00-0039851,16,1,2,1,Drake Maye,QB,NE,230.0,469.7,598.2,88.3,343.5,2026,29.41,15.3,0.0,0.0,,7.0,7.0,-9.0
00-0037239,17,1,6,1,Chris Olave,WR,NO,69.0,224.7,302.2,88.2,136.5,2026,14.63,15.5,1.0,8.0,Illness,31.0,31.0,14.0
00-0033280,18,1,9,1,Christian McCaffrey,RB,SF,69.9,180.8,332.1,88.0,92.8,2026,15.0,13.1,0.0,16.0,Calf,5.0,5.0,-13.0
00-0037238,19,1,7,1,Drake London,WR,ATL,69.0,224.4,324.4,87.9,136.5,2026,15.3,15.6,4.0,11.0,Knee,18.0,18.0,-1.0
00-0037840,20,1,10,1,Kyren Williams,RB,LA,91.7,178.8,280.4,86.0,92.8,2026,13.52,14.4,0.0,2.0,Ankle,13.0,13.0,-7.0
00-0033077,21,1,4,1,Dak Prescott,QB,DAL,190.7,463.9,572.2,84.3,343.5,2026,29.52,15.9,0.0,1.0,Hip,40.0,40.0,19.0
00-0037248,22,1,11,1,James Cook,RB,BUF,116.9,176.8,281.7,84.0,92.8,2026,15.04,13.4,0.0,3.0,Ankle,5.0,5.0,-17.0
00-0036223,23,1,12,1,Jonathan Taylor,RB,IND,125.9,176.7,265.6,83.9,92.8,2026,14.02,13.1,0.0,0.0,,4.0,4.0,-19.0
00-0036971,24,1,5,1,Trevor Lawrence,QB,JAX,203.5,462.2,589.1,83.1,343.5,2026,28.83,15.5,0.0,1.0,Ankle,39.0,39.0,15.0
00-0036389,25,1,6,1,Jalen Hurts,QB,PHI,191.7,461.3,581.7,82.5,343.5,2026,28.78,15.7,0.0,0.0,,28.0,28.0,3.0
00-0033873,26,1,7,1,Patrick Mahomes,QB,KC,187.4,459.7,587.3,81.3,343.5,2026,29.4,15.3,0.0,7.0,Groin,38.0,38.0,12.0
00-0036275,27,1,13,1,D'Andre Swift,RB,CHI,71.6,172.7,255.7,79.9,92.8,2026,12.45,14.0,1.0,9.0,Groin,47.0,47.0,20.0
00-0036358,28,1,8,1,CeeDee Lamb,WR,DAL,59.5,214.7,295.7,78.2,136.5,2026,13.75,15.3,3.0,6.0,Ankle,11.0,11.0,-17.0
00-0036554,29,1,9,1,Nico Collins,WR,HOU,60.9,213.6,302.9,77.1,136.5,2026,14.18,15.2,1.0,6.0,Concussion,22.0,22.0,-7.0
00-0033106,30,1,8,1,Jared Goff,QB,DET,192.0,446.6,566.3,72.2,343.5,2026,29.25,16.0,0.0,0.0,,64.0,64.0,34.0
00-0039918,31,1,9,1,Caleb Williams,QB,CHI,206.9,445.9,597.3,71.7,343.5,2026,28.76,15.5,0.0,0.0,,20.0,20.0,-11.0
00-0036997,32,1,14,1,Javonte Williams,RB,DAL,65.1,162.2,257.5,69.4,92.8,2026,12.35,14.2,1.0,3.0,Shoulder,32.0,32.0,0.0
00-0037744,33,1,1,1,Trey McBride,TE,ARI,88.5,199.1,280.3,68.5,118.5,2026,14.44,14.7,0.0,0.0,,22.0,22.0,-11.0
00-0031381,34,1,10,1,Davante Adams,WR,LA,78.3,204.4,204.4,67.9,136.5,2026,13.55,14.5,0.0,9.0,Hamstring,46.0,46.0,12.0
00-0039732,35,1,10,1,Bo Nix,QB,DEN,181.8,438.7,586.2,66.6,343.5,2026,28.64,15.6,0.0,0.0,,43.0,43.0,8.0
00-0036410,36,1,11,1,Tee Higgins,WR,CIN,66.9,202.2,249.4,65.7,136.5,2026,13.55,14.8,2.0,4.0,Concussion,36.0,36.0,0.0
00-0037240,37,1,12,1,Jameson Williams,WR,DET,62.2,201.2,280.8,64.7,136.5,2026,14.15,14.7,0.0,0.0,,53.0,53.0,16.0
